"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SGIP1",1391.57120415036,-0.477422339514632,0.144675456153373,-3.29995392589956,0.000967007028463867,0.020411874067423
"NECAP2",375.979519143413,0.236531004699286,0.141432091449597,1.67239982294669,0.0944455070046343,0.282202281590884
"AZIN2",341.880171568652,-0.231925675917291,0.174451717612275,-1.32945481472848,0.183697963763882,0.411849175907951
"AGBL4",175.612657426663,-0.660870620873134,0.212220535973749,-3.11407478942039,0.00184522710519163,0.0306875688028481
"CLIC4",1351.81276913095,0.180695851811524,0.314928127978557,0.573768538781735,0.566124441152517,0.752696379822212
"SLC45A1",255.020106103628,-0.627502636469199,0.162219593434516,-3.86822962124182,0.000109628406091336,0.00529236205795096
"TGFBR3",517.948114996868,0.180030053482723,0.176937817734674,1.01747639813602,0.308926854461827,0.547380590467408
"DBT",599.099255386256,-0.0376553040185523,0.117497235759541,-0.320478211892697,0.748605844492504,0.868801436042241
"PRUNE1",267.038936575535,0.146469633183221,0.104713903344101,1.39876013123019,0.161884925617185,0.383518132880426
"C1orf21",2165.75943068527,-0.0272599820435951,0.125473730703997,-0.217256487797463,0.828008464897058,0.915397720276319
"RFWD2",525.029033283627,-0.0541976844932716,0.0794001157137644,-0.682589490028617,0.494866277107335,0.701904513093657
"LIN9",42.1240865195583,0.313050597314857,0.147829262920386,2.11764972056616,0.0342047439867762,0.159050152919558
"PRKCZ",1320.73893866434,0.0154350227638697,0.146612727251947,0.105277509348458,0.916155608729006,0.96053808823294
"PRDM16",675.774076473982,0.0848733838001419,0.226846546507415,0.374144482721351,0.708296825565401,0.842258541291278
"ICMT",623.188898007446,0.175687810744014,0.102459795922855,1.71469998706902,0.0864002459510099,0.269419427229114
"CAMTA1",2243.49325752423,-0.431703602739848,0.161592741706234,-2.67155317857444,0.00755011082524929,0.0677236822626125
"C1orf159",207.560102262162,-0.159678499768212,0.168574663078693,-0.947227162445356,0.343523037121509,0.578642511846302
"PRAMEF18",0,NA,NA,NA,NA,NA
"PRAMEF10",0,NA,NA,NA,NA,NA
"PRAMEF33P",0,NA,NA,NA,NA,NA
"PINK1-AS",68.2597697227395,0.112451500991085,0.167860148658575,0.669911839645807,0.502913991808419,0.708188473947642
"EPHB2",331.256152237001,-0.0804533233061899,0.16864213844172,-0.477065364858341,0.633315576929142,0.796898537278705
"LOC105378614",1.28232103253945,-0.535025340894949,0.784228579303223,-0.682231373626184,0.495092659308342,NA
"PINK1",1431.43660448744,-0.138588721110352,0.111128967984001,-1.24709806654828,0.212361541809969,0.447489133519946
"USP48",1023.46747923484,0.0567418717191586,0.099613664585396,0.569619358501919,0.568935895668631,0.753626488207007
"STMN1",3426.76866786495,-0.385244572701845,0.23067757394457,-1.67005646068749,0.0949081933323519,0.282598906919824
"NUDC",1229.01737527957,-0.147599683767197,0.15122612972867,-0.976019713207106,0.329054695472971,0.56490250856839
"EPB41",542.009884243926,0.447428107803208,0.231486044598994,1.93285132405409,0.0532545156681782,0.204836393260763
"PUM1",2068.41789137777,0.0474366846773545,0.0854418139644925,0.555192855538718,0.578762755172761,0.760752379876966
"KHDRBS1",1063.97308716407,-0.294027352193033,0.112175705830116,-2.62113217846226,0.00876382758144401,0.0735491445517162
"EYA3",524.6321737776,0.19044440886935,0.0995897687824769,1.91228889470882,0.0558391494470371,0.210057860624891
"SFPQ",2752.21467904377,0.0299898626312305,0.120672833250422,0.248522072644097,0.803730494165743,0.901705280317746
"THRAP3",1785.79964766682,-0.17941274597035,0.0977291587327822,-1.83581592532596,0.0663848853409637,0.231824645643972
"MACF1",23634.1407945458,0.143909006505766,0.113351584548223,1.26958089804685,0.204233957215754,0.43743444364122
"CSMD2",1351.54285982251,0.149070407127814,0.118823565031194,1.25455255519962,0.209641235929965,0.444468639987303
"RNF220",2227.28181501874,0.447297182896388,0.198171627298152,2.25712019926759,0.0240005650386929,0.130042032705103
"TRABD2B",12.7852588231192,0.413105849456692,0.409473173632745,1.00887158441106,0.313036224506676,0.550870851581026
"PTPRF",4478.76474405714,-0.0929596599659271,0.102065921775626,-0.910780585221013,0.362410994021952,0.594188779899986
"GPBP1L1",891.588340567189,0.218675092584356,0.0767007543539568,2.85101619177329,0.00435797502160068,0.0501575988275288
"TCEANC2",260.841219017547,0.219103358864906,0.204966724577193,1.06897038686096,0.28508301334442,0.525305375799424
"DAB1",237.411844846825,-0.12899551570486,0.156969146627808,-0.821788985135552,0.411197003777266,0.63758103947091
"RAB3B",825.522888192103,-0.312390526168824,0.379037433969434,-0.824168006039254,0.409844103302981,0.636267705322182
"SCP2",600.744541142433,-0.250334263689663,0.113012493055258,-2.21510256894572,0.0267530251582091,0.138651674869396
"FAF1",736.668939277786,-0.0302019491300914,0.0977718456604212,-0.30890231156102,0.757395838376123,0.875199576017066
"USP24",2206.52403500524,0.142256498062866,0.0830631125180968,1.71263144072373,0.0867803653054578,0.270055283576181
"FGGY",303.8883125075,0.097785651065587,0.186355421389968,0.524726623654057,0.599773246658748,0.773452371838455
"CACHD1",917.645245434262,-0.114903828885993,0.187102715389727,-0.614121653160688,0.539134940616958,0.73500709581132
"USP1",384.350476818289,0.189920518719361,0.139279910669051,1.36358874590779,0.172697036079512,0.397176520449737
"ITGB3BP",48.3228952312698,-0.227192717125497,0.231468658904882,-0.981526908223277,0.326332971700498,0.562630567611684
"LEPR",172.361082763579,-0.0785699165207707,0.232097894361819,-0.338520591652967,0.734970912205366,0.860195205906219
"NFIA",3085.31233603815,0.294938285756857,0.188195865896058,1.56718791006681,0.117070775540969,0.318454625491199
"NEGR1",1177.59040128608,-0.544209630328131,0.268188510878826,-2.02920560819258,0.0424373526016689,0.179156070548138
"LRRC7",2422.60202328887,-0.376734126983726,0.155334322276372,-2.42531155679449,0.0152952541238684,0.10002587794082
"ST6GALNAC3",173.035968033629,0.370391123940337,0.184576282400454,2.00671028326783,0.044780520442728,0.184322726506594
"PIGK",255.481297706843,-0.17234606757428,0.22380510844599,-0.770072089823953,0.441257130944836,0.66194917751795
"CLCA4",90.3866579943735,1.4101492623243,0.434538325522569,3.24516660441511,0.0011738192578186,0.0230075193813975
"LRRC8C",393.156926486281,0.034411307024725,0.129837761642178,0.265033119714122,0.79098394799003,0.893997207756073
"PKN2-AS1",17.0738683494624,-1.02125360235696,0.246495065100132,-4.14309958676902,3.42643064295106e-05,0.00257971881078499
"DDAH1",2472.39968066268,-0.433446796513314,0.172137452291104,-2.51802725522105,0.0118014188538802,0.0861759769599692
"LOC729970",69.5285745358808,-0.228166491149601,0.156424865712032,-1.45863312786626,0.144666110582107,0.360278779889491
"LOC102723661",0.279172014205086,0.509803808567063,2.28406502251834,0.223200216955719,0.823379683094108,NA
"FAM69A",357.833455718083,-0.0959835703710394,0.187722241158264,-0.511306330985671,0.609136572581844,0.780315922677786
"GCLM",282.17339947394,-0.236837076528339,0.17454954665265,-1.35684727385537,0.174829743040588,0.399877155919908
"NTNG1",191.290425512265,-0.356194990854072,0.168481116885267,-2.11415378434745,0.034502134697173,0.159685312718496
"PHTF1",367.35387417099,0.0418488727900788,0.144395681525794,0.28982080591242,0.77195332986252,0.882571757351582
"GNAI3",440.455321015773,-0.00168809939849943,0.109024733585855,-0.0154836369966462,0.987646338714605,0.993878837563829
"KCNA2",974.867925945995,-0.33130142009754,0.233361411493564,-1.41969239034482,0.155697254477041,0.37436551324779
"RAP1A",577.370538923469,0.421340248982507,0.167149968964449,2.5207318409501,0.0117111061936094,0.0858224536655954
"RHOC",820.846092770158,-0.0824730181109681,0.158454924049969,-0.520482519589989,0.602727308366378,0.775057221357801
"NOTCH2",3822.26393111935,0.268575016589508,0.199639620297182,1.34529917553294,0.178528639720193,0.404741252458378
"WDR3",221.496477120838,-0.309787678843901,0.13526460529647,-2.29023459732807,0.0220077208534235,0.123512114746541
"LOC101927429",0.216477598596953,-1.32304771779652,1.70542352383691,-0.775788359492015,0.437873958136555,NA
"OTUD7B",1873.17523007075,0.459359622409028,0.222733996194567,2.06236870103906,0.039172646800734,0.171447124665122
"NBPF9",2.58752051859122,1.29161018554753,0.605151225615467,2.13435936485777,0.0328133752105911,0.155797005696281
"PDZK1",12.1061378959472,0.00683460888515224,0.285282558327058,0.0239573317248397,0.980886643279978,0.991227260699757
"NBPF20",0.218599362231988,-0.259631004045024,1.70409635713327,-0.152356997277895,0.878905372249551,NA
"NBPF8",26.2924630164788,0.41377025547244,0.289421344373863,1.42964665017224,0.152818459314023,0.370886648317696
"NBPF25P",62.225544673894,0.308928858367175,0.28676563482562,1.07728688814137,0.281352118180661,0.521425257678636
"NBPF10",92.4029146192848,0.487763902739913,0.221150885936601,2.20557064772394,0.027414076142893,0.140354786097191
"TPM3",1596.59088942433,-0.349792837738071,0.111015583039563,-3.15084448652054,0.00162799147067294,0.0283167323777183
"SMG5",2211.90058184972,0.427337321663024,0.0906041670528924,4.71653054780091,2.39900361933058e-06,0.000454829277101265
"GBAP1",113.536993719872,-0.218670844218243,0.204244612017833,-1.07063213104074,0.284334870193718,0.524668529277119
"LOC440700",2.17799484794352,0.282549247403864,0.655836497559472,0.430822695070035,0.666597296327697,0.817613751391762
"FCGR2A",178.146069747985,0.123464349710834,0.347075683768232,0.355727455090977,0.722044682016328,0.852022589159014
"PBX1",1599.73362662976,-0.244874057330065,0.13451790177072,-1.82038267105476,0.0687007495281435,0.236389066393241
"DNM3",3075.54178199927,-0.0384701748947871,0.177566766659297,-0.216651886040145,0.828479646723137,0.915533225541068
"TNFSF18",3.40650609230006,-0.34657132503522,0.469343085280854,-0.738417877889545,0.460260553904399,0.676348213900525
"MROH9",8.20573110215472,0.925357672770973,0.500269366118251,1.84971884237309,0.0643540833095198,0.228050048171391
"TNN",9.33726477784175,-1.0080428337375,0.360847274658587,-2.79354426243415,0.00521338937668012,0.0552746494411103
"BRINP2",1107.75684751137,-0.475978950318173,0.15968666066356,-2.98070576678288,0.00287584960870411,0.0400372787647024
"ACBD6",306.024111696445,0.00790541672758235,0.0860809823475002,0.091836971558584,0.926827569113706,0.965357323291046
"SMG7",1450.54415294131,-0.0270608580601229,0.0972190929393019,-0.278349213533788,0.780744301210874,0.888198103110014
"SOAT1",323.401586298314,0.145171779319883,0.143366571267224,1.01259155489807,0.311255295322823,0.54959183675874
"RASAL2",1671.86359181841,-0.487577341397518,0.132721139115142,-3.67369768409328,0.000239065563581201,0.00879314343648317
"RGSL1",2.23525638137169,-1.43246537456337,0.67778304086274,-2.11345709202167,0.0345616638341109,0.159833810419325
"PTGS2",88.9047987733139,-0.740662211771704,0.237840063834576,-3.1141187898724,0.00184495194197791,0.0306875688028481
"ZBTB41",837.130990780578,0.0757084351823531,0.149648604121325,0.505908061267139,0.612921192965742,0.782346180556716
"NEK7",917.449902906107,0.373766207508347,0.297892962369171,1.25469968990119,0.209587798373754,0.444465951725824
"PPP1R12B",2785.42836787297,0.0866825905666724,0.123096196806873,0.704185773526942,0.481317089464413,0.691837335500747
"SRGAP2D",28.9815838735202,0.496478291064,0.182114882560617,2.72618186983564,0.00640716836560977,0.0618979619615541
"SRGAP2",1213.72233304323,0.330990635216067,0.138343813455779,2.39252212981584,0.0167330189734417,0.105126378612073
"BATF3",51.5331961906657,-0.433028156237936,0.232919653074942,-1.85913103733934,0.0630085668739726,0.224831610675836
"USH2A",43.8147344896206,-0.00191524362049041,0.173525220870933,-0.0110372636950277,0.991193716503246,0.995692362062841
"ESRRG",200.905065097703,-0.267070102016232,0.20470931260582,-1.30463093552803,0.192018549067965,0.422598864585522
"HHAT",112.783926549117,-0.184769703002355,0.144521820409366,-1.2784900057236,0.201076706475884,0.43329765587462
"RNU5F-1",0.947698831222532,0.290457905132273,0.777400663580694,0.373627035246444,0.708681817112938,NA
"MIR548F3",0.750201595368477,-0.622194431986085,0.861641912034608,-0.722103258088837,0.470230995234705,NA
"EPRS",1254.4048105874,-0.142099677703232,0.11723919169575,-1.21204927846994,0.225493517790449,0.46222403317474
"DNAH14",121.902660540741,-0.150379916630672,0.202422438825588,-0.742901416973058,0.457541367767547,0.674413681493655
"NUP133",717.540206641843,-0.0722183914113417,0.12890748739039,-0.56023426469117,0.575319658207642,0.758115623810058
