"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",196.165836967319,0.954028233537916,0.217349866927613,4.38936654079319,1.13681319072403e-05,0.000313149280897347
"A4GALT",164.450156403846,0.752889234025176,0.248453113798805,3.03030709703586,0.00244305192858135,0.0172933396972456
"AATK",7732.76948322099,-0.771254419704308,0.209110299390789,-3.68826605839712,0.000225787488705788,0.0029985646830526
"ABCA1",653.005764167277,0.844585932169312,0.195913712129679,4.3110097960385,1.62510705149432e-05,0.000411370393517364
"ABCA2",23974.5986987599,-0.65820429960137,0.25461811030281,-2.58506474193288,0.00973607137668623,0.0470380265041459
"ABCC11",30.1186683274938,-0.749105351095751,0.208318803618323,-3.59595647672903,0.000323201838194287,0.00391181615083977
"ABCC4",197.544304846449,0.795685100356916,0.195233769457297,4.07555056980527,4.59056044647069e-05,0.000905946293057909
"ABI3BP",224.996621617626,0.83930273554162,0.32364042654499,2.59331859280239,0.00950546708108515,0.0462943393484723
"ACADL",78.5992719157821,1.32785692554821,0.240902231274819,5.51201588512228,3.54746894229849e-08,3.32985109961968e-06
"ACKR3",462.359475086785,1.05305586897214,0.23999242634076,4.38787125505758,1.14465496574063e-05,0.000314533726133403
"ACKR4",6.65496292137436,0.926189779038179,0.320450316829089,2.89027574758854,0.00384904039172231,0.0242082101213616
"ACP7",89.6152679870068,-0.874209215031357,0.335237288167947,-2.60773262965126,0.009114411540258,0.0448295803191025
"ACSM1",14.0752321812723,0.732203400735817,0.276703279682988,2.64616813206798,0.00814093423333783,0.0412493696468059
"ADAM11",3766.59041583988,-0.635172222092878,0.161784413775166,-3.92604087916395,8.63554856490336e-05,0.00145929012813874
"ADAM12",107.113479829629,0.616549149519291,0.218029648726986,2.82782251459445,0.00468657817067491,0.027926955543579
"ADAM28",244.650173063074,1.17863106185013,0.241331734978323,4.88386271269296,1.04027518507504e-06,4.93412900946419e-05
"ADAM33",648.127653312105,0.910363723589246,0.186671314947662,4.8768270788926,1.0780586244384e-06,5.05962808192306e-05
"ADAMDEC1",1.19266491879589,2.11903119555183,0.776302361185176,2.72964672207968,0.00634022286030606,0.0345212231779764
"ADAMTS12",12.5844914828353,0.947496527653117,0.308232912189492,3.07396287087806,0.0021123572021503,0.015600019800343
"ADAMTS14",305.649404526453,-0.94053019627482,0.365527391741701,-2.57307719619394,0.0100798722005042,0.0482710278583629
"ADAMTS2",200.676413251579,0.859921635371771,0.180572342906134,4.76220013282311,1.91493627006732e-06,7.7499413538594e-05
"ADAMTS4",862.653873909186,-1.06817509861812,0.344574589194907,-3.09998221608244,0.00193532262332124,0.0146808514108647
"ADAMTSL3",153.1340332163,0.98334409448408,0.229614166201236,4.28259332058052,1.8472761594677e-05,0.000450034344629318
"ADGRG2",14.1442866097936,1.14513703234714,0.222467898847871,5.14742593550638,2.64085220716791e-07,1.63425590881249e-05
"ADGRG3",9.48754419614033,1.84566178651285,0.378929364154563,4.87072779548437,1.11187930651228e-06,5.15534453825912e-05
"ADGRG6",103.089892558595,0.788438565617183,0.24471024132708,3.22192713039482,0.00127331514649574,0.0107831161382543
