"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FKBP4",5424.32989625141,0.814840453211111,0.154958812003331,5.25843250007361,1.45288495176361e-07,7.78925702657856e-06
"CHDH",1059.73800440508,0.611135467721776,0.146885847087829,4.16061506154743,3.17391661262703e-05,0.000373929741779548
"CYP24A1",18.7156579561417,-1.01397080470955,0.293307125525248,-3.4570275198523,0.000546169069953514,0.00319676885216245
"CYBA",455.080051255684,1.03732014508492,0.21258822479206,4.87948072429487,1.06365517865649e-06,3.26202611499553e-05
"HEBP2",570.622811049978,0.728195396479596,0.136074181539852,5.35145894863481,8.72479319027977e-08,5.57180689825132e-06
"EYA2",285.64868054679,0.945412503180737,0.174455628226403,5.41921468967348,5.98613978877713e-08,4.46656540322055e-06
"SLC25A1",1155.37437444556,0.654427695726224,0.131412979472325,4.97993195462128,6.36066333425444e-07,2.22254120045398e-05
"TSPO",534.760444081266,0.846732169913754,0.174210407093438,4.86039946775169,1.17149123168613e-06,3.50366241234173e-05
"NDFIP2",3724.96729392198,-0.615379376253009,0.140569921737484,-4.3777457413844,1.19913122936232e-05,0.000181062144528122
"CRYM",3294.98840520143,-0.728691400180723,0.205188866586064,-3.55132036306211,0.000383303547517883,0.00241494500741845
"PYCARD",65.4963713035534,0.685054912305972,0.176720799067996,3.87648152293826,0.000105977853767987,0.000924878271247707
"BMF",60.5611686650184,0.64564307232885,0.165187288420841,3.90855179294409,9.28510431961446e-05,0.000839331682313858
"GDAP1",3115.81746505757,-0.627466295193264,0.133398266065497,-4.70370653007727,2.55480404093468e-06,5.93923556111507e-05
"CRYAB",19930.8294686141,1.08431999640035,0.287343336884001,3.77360410775102,0.000160906028192341,0.00126631119613639
"TCIRG1",499.633635742542,1.09149413365365,0.183281439321178,5.95529005935476,2.59610968450861e-09,4.9884362459943e-07
"DAO",15.0490096258323,-0.734664604167312,0.306820098793748,-2.39444745326535,0.0166454283536344,0.0457207066214375
